ID,Edad_Grupo,Ciudad,Educacion,Ocupacion,Hobby_Principal,Deporte_Favorito,Tipo_Musica
001,Joven,Madrid,Universitaria,Ingeniero,Tecnología,Fútbol,Rock
002,Adulto,Barcelona,Secundaria,Comerciante,Deportes,Tenis,Pop
003,Senior,Valencia,Universitaria,Profesor,Lectura,Natación,Clásica
004,Joven,Sevilla,Universitaria,Diseñador,Arte,Basketball,Electronic
005,Adulto,Madrid,Universitaria,Médico,Cocina,Running,Jazz
006,Joven,Barcelona,Secundaria,Estudiante,Videojuegos,Fútbol,Rock
007,Senior,Valencia,Primaria,Jubilado,Jardinería,Caminar,Clásica
008,Adulto,Sevilla,Universitaria,Abogado,Lectura,Tenis,Jazz
009,Joven,Madrid,Universitaria,Programador,Tecnología,Ciclismo,Electronic
010,Senior,Barcelona,Secundaria,Comerciante,Televisión,Caminar,Pop
011,Adulto,Valencia,Universitaria,Enfermera,Cocina,Yoga,Clásica
012,Joven,Sevilla,Universitaria,Arquitecto,Arte,Running,Rock
013,Senior,Madrid,Primaria,Jubilado,Lectura,Caminar,Clásica
014,Joven,Barcelona,Universitaria,Marketing,Redes_Sociales,Fútbol,Pop
015,Adulto,Valencia,Secundaria,Técnico,Deportes,Basketball,Rock
016,Senior,Sevilla,Universitaria,Profesor,Lectura,Natación,Jazz
017,Joven,Madrid,Universitaria,Consultor,Viajes,Tenis,Electronic
018,Adulto,Barcelona,Secundaria,Vendedor,Televisión,Ciclismo,Pop
019,Senior,Valencia,Primaria,Jubilado,Jardinería,Caminar,Clásica
020,Joven,Sevilla,Universitaria,Desarrollador,Tecnología,Running,Electronic
021,Adulto,Madrid,Universitaria,Contador,Finanzas,Yoga,Jazz
022,Joven,Barcelona,Secundaria,Camarero,Música,Fútbol,Rock
023,Senior,Valencia,Universitaria,Médico,Lectura,Natación,Clásica
024,Adulto,Sevilla,Secundaria,Electricista,Deportes,Basketball,Rock
025,Joven,Madrid,Universitaria,Psicólogo,Psicología,Tenis,Pop
026,Senior,Barcelona,Primaria,Jubilado,Televisión,Caminar,Clásica
027,Adulto,Valencia,Universitaria,Ingeniero,Tecnología,Ciclismo,Electronic
028,Joven,Sevilla,Universitaria,Periodista,Escritura,Running,Rock
029,Senior,Madrid,Secundaria,Comerciante,Lectura,Caminar,Jazz
030,Adulto,Barcelona,Universitaria,Farmacéutico,Ciencia,Yoga,Clásica
031,Joven,Valencia,Universitaria,Diseñador,Arte,Fútbol,Electronic
032,Senior,Sevilla,Primaria,Jubilado,Jardinería,Caminar,Clásica
033,Adulto,Madrid,Secundaria,Policía,Deportes,Basketball,Rock
034,Joven,Barcelona,Universitaria,Científico,Investigación,Tenis,Pop
035,Senior,Valencia,Universitaria,Profesor,Educación,Natación,Jazz
036,Adulto,Sevilla,Secundaria,Mecánico,Coches,Ciclismo,Rock
037,Joven,Madrid,Universitaria,Analista,Finanzas,Running,Electronic
038,Senior,Barcelona,Primaria,Jubilado,Televisión,Caminar,Clásica
039,Adulto,Valencia,Universitaria,Veterinario,Animales,Yoga,Pop
040,Joven,Sevilla,Universitaria,Artista,Arte,Fútbol,Rock
041,Senior,Madrid,Secundaria,Pensionista,Lectura,Caminar,Jazz
042,Adulto,Barcelona,Universitaria,Dentista,Salud,Basketball,Clásica
043,Joven,Valencia,Universitaria,Traductor,Idiomas,Tenis,Electronic
044,Senior,Sevilla,Primaria,Jubilado,Jardinería,Caminar,Clásica
045,Adulto,Madrid,Secundaria,Bombero,Deportes,Ciclismo,Rock
046,Joven,Barcelona,Universitaria,Economista,Finanzas,Running,Pop
047,Senior,Valencia,Universitaria,Bibliotecario,Lectura,Natación,Jazz
048,Adulto,Sevilla,Secundaria,Cocinero,Cocina,Yoga,Rock
049,Joven,Madrid,Universitaria,Biólogo,Ciencia,Fútbol,Electronic
050,Senior,Barcelona,Primaria,Jubilado,Televisión,Caminar,Clásica
051,Adulto,Valencia,Universitaria,Químico,Investigación,Basketball,Pop
052,Joven,Sevilla,Universitaria,Músico,Música,Tenis,Rock
053,Senior,Madrid,Secundaria,Comerciante,Lectura,Caminar,Jazz
054,Adulto,Barcelona,Universitaria,Optometrista,Salud,Ciclismo,Clásica
055,Joven,Valencia,Universitaria,Fotógrafo,Arte,Running,Electronic
056,Senior,Sevilla,Primaria,Jubilado,Jardinería,Caminar,Clásica
057,Adulto,Madrid,Secundaria,Taxista,Deportes,Yoga,Rock
058,Joven,Barcelona,Universitaria,Sociólogo,Sociología,Fútbol,Pop
059,Senior,Valencia,Universitaria,Historiador,Historia,Natación,Jazz
060,Adulto,Sevilla,Secundaria,Carpintero,Manualidades,Basketball,Rock